CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory,Month
352,7184,1,Ipca Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,742934.0,742934.0,0.0,105.8532,104.09989999999999,1.6842475353002255,4.10869161710186,1100,ipca-laboratories,Mid Cap,May-2025
171514,5399,1,Cholamandalam Investment and Finance Company Ltd.,Finance,Finance,Domestic Equities,639048.0,639048.0,0.0,102.3116,95.35870000000001,7.291311647495184,3.97122442450751,1100,cholamandalam-investment-and-finance-company,Large Cap,May-2025
152376,5012,1,Bharat Petroleum Corporation Ltd.,Crude Oil,Crude Oil,Domestic Equities,2883018.0,2883018.0,0.0,91.79530000000001,89.38799999999999,2.6930907951850513,3.56303427387505,1100,bharat-petroleum-corporation,Large Cap,May-2025
152907,86648,1,SBI Life Insurance Company Ltd.,Insurance,Finance,Domestic Equities,494234.0,494234.0,0.0,89.5651,87.2718,2.6277675033630556,3.47646906805736,1100,sbi-life-insurance-company,Large Cap,May-2025
19182,5589,1,Coromandel International Ltd.,Chemicals,Chemicals,Domestic Equities,379512.0,379512.0,0.0,86.8855,84.0315,3.3963454180872605,3.37246040268696,1100,coromandel-international,Mid Cap,May-2025
122,5767,1,The Phoenix Mills Ltd.,Realty,Realty,Domestic Equities,558910.0,558910.0,0.0,85.9101,93.03059999999999,-7.6539332219721175,3.33460025482822,1100,the-phoenix-mills,Mid Cap,May-2025
133593,6508,1,Bharti Airtel Ltd.,Telecom,Telecom,Domestic Equities,437616.0,437616.0,0.0,81.2303,81.5935,-0.44513349715357986,3.15295383289942,1100,bharti-airtel,Large Cap,May-2025
134937,5507,1,Kirloskar Oil Engines Ltd.,Capital Goods,Capital Goods,Domestic Equities,897446.0,897446.0,0.0,81.1875,66.99430000000001,21.18568296108773,3.15129255103726,1100,kirloskar-oil-engines,Small Cap,May-2025
133662,6324,1,Century Plyboards (India) Ltd.,Construction Materials,Construction Materials,Domestic Equities,927852.0,927852.0,0.0,72.1776,64.7687,11.439012980035116,2.80157331155346,1100,century-plyboards-india,Small Cap,May-2025
171889,4926,1,Infosys Ltd.,IT,Information Technology,Domestic Equities,418063.0,418063.0,0.0,65.3307,62.7136,4.173098020206145,2.53581091010377,1100,infosys,Large Cap,May-2025
96614,6762,1,PG Electroplast Ltd.,Consumer Durables,Consumer Durables,Domestic Equities,833321.0,,,64.28649999999999,,,2.49528029046659,1100,pg-electroplast,Small Cap,May-2025
19805,15724,1,Syngene International Ltd.,Business Services,Healthcare,Domestic Equities,987155.0,375562.0,162.84741267753392,63.8245,23.8125,168.0293963254593,2.47734776195446,1100,syngene-international,Mid Cap,May-2025
113818,7906,1,Samvardhana Motherson International Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,4100322.0,3569727.0,14.863741681086537,62.784099999999995,47.5738,31.972009803715483,2.43696463930504,1100,samvardhana-motherson-international,Large Cap,May-2025
178941,94376,1,Cohance Lifesciences Ltd.,Healthcare,Healthcare,Domestic Equities,589110.0,589110.0,0.0,61.7211,66.9877,-7.862040344720011,2.39570429772841,1100,cohance-lifesciences,Small Cap,May-2025
134131,90516,1,Polycab India Ltd.,Electricals,Electricals,Domestic Equities,102310.0,102310.0,0.0,61.2939,56.475100000000005,8.532609946684468,2.3791225311042,1100,polycab-india,Large Cap,May-2025
171383,5551,1,Hero MotoCorp Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,141347.0,141347.0,0.0,60.9107,54.0992,12.590759197917892,2.36424862433829,1100,hero-motocorp,Large Cap,May-2025
152604,5456,1,Power Finance Corporation Ltd.,Finance,Finance,Domestic Equities,1470278.0,1470278.0,0.0,59.685900000000004,59.8991,-0.3559318921319303,2.31670801628274,1100,power-finance-corporation,Large Cap,May-2025
153985,89725,1,Mrs. Bectors Food Specialities Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,408226.0,407094.0,0.2780684559340103,59.5643,60.669200000000004,-1.8211876866680257,2.31198811267435,1100,mrs-bectors-food-specialities,Small Cap,May-2025
171369,7531,1,Tech Mahindra Ltd.,IT,Information Technology,Domestic Equities,372201.0,372201.0,0.0,58.5807,55.9418,4.717223972056662,2.27380968184201,1100,tech-mahindra,Large Cap,May-2025
19064,6023,1,Westlife Foodworld Ltd,Hospitality,Hospitality,Domestic Equities,830831.0,664503.0,25.030436280949825,55.6034,44.5682,24.76025506975827,2.15824579193035,1100,westlife-foodworld,Small Cap,May-2025
133044,7653,1,Ratnamani Metals & Tubes Ltd.,Iron & Steel,Iron & Steel,Domestic Equities,185487.0,185487.0,0.0,52.6598,49.7921,5.75934736634927,2.04398996741015,1100,ratnamani-metals-tubes,Small Cap,May-2025
171741,5431,1,GAIL (India) Ltd.,Inds. Gases & Fuels,Industrials Gases & Fuels,Domestic Equities,2770814.0,2770814.0,0.0,52.59,52.393299999999996,0.3754296828029552,2.04128068063494,1100,gail-india,Large Cap,May-2025
192109,100019,1,Prudent Corporate Advisory Services Ltd.,Finance,Finance,Domestic Equities,137025.0,137025.0,0.0,40.4594,30.355100000000004,33.28699295999683,1.5704314807013,1100,prudent-corporate-advisory-services,Small Cap,May-2025
152343,5043,1,Hindalco Industries Ltd.,Non - Ferrous Metals,Non - Ferrous Metals,Domestic Equities,621974.0,621974.0,0.0,39.4021,38.8516,1.41693006208239,1.52939238460631,1100,hindalco-industries,Large Cap,May-2025
96304,15914,1,Narayana Hrudayalaya Ltd.,Healthcare,Healthcare,Domestic Equities,61982.0,199536.0,-68.93693368615187,10.809000000000001,35.128299999999996,-69.22993711622823,0.419551300189829,1100,narayana-hrudayalaya,Small Cap,May-2025
